id,likes,retweets,replies
1591692213096157184,0,0,0
1591684587205586944,1,1,0
1591683843307999233,6,0,1
1591678521105055744,0,0,1
1591666247787499520,1,0,0
1591661802945155072,0,0,0
1591661112642400256,16,2,0
1591646724107292673,0,0,0
1591636973105577984,0,0,0
1591632481433927682,43,2,3
1591632211907780608,0,0,0
1591601358867550210,0,0,0
1591585056753324032,0,0,0
1591582866852429824,1,0,0
1591554699379249152,0,0,0
1591553440068816896,0,0,0
1591551631879208961,10,2,0
1591550731911593984,2,0,1
1591547456730398721,0,0,1
1591544375456124929,0,0,0
1591544304908095492,0,0,0
1591543696863830016,0,0,0
1591532455718264834,0,0,0
1591529140750274560,25,5,1
1591525216169394177,1,0,0
1591524074429485056,2,0,1
1591524002819985409,20,9,0
1591521297892511744,2,0,0
1591520958539763712,1,0,0
1591519656225169408,2,0,0
1591519505657876482,0,0,0
1591519358651711490,0,0,0
1591517728828837888,0,0,0
1591515348595249152,6,1,0
1591514184122236928,3,0,0
1591513493144240129,2,0,1
1591512580350435329,0,0,0
1591512146479046656,0,0,0
1591507788739510277,3,0,0
1591507517921972224,32,2,2
1591507496937885697,36,2,2
1591505284295716864,3,0,0
1591503961873600514,0,0,0
1591500832599572480,3,0,0
1591500331758014464,11,0,2
1591499268460007424,18,3,0
1591495289453432832,3,3,0
1591493756175675393,0,0,0
1591493209016107009,3,0,0
1591491176942964736,43,5,3
1591491015424229376,1,0,0
1591490380092305408,4,0,1
1591485596689891328,2,1,0
1591485483401347072,0,0,0
1591485347812192256,0,0,0
1591483517443387395,3,0,0
1591482986159312897,2,0,0
1591481785988583424,0,0,0
1591479166326951936,1,0,0
1591478359976218624,15,1,0
1591477018469683204,0,0,0
1591475475364184064,0,0,0
1591474076207521792,0,0,0
1591472243909033985,76,2,0
1591472013750812672,0,0,0
1591470002074714113,2,0,0
1591467176464375810,0,0,0
1591463328961921036,1,0,0
1591462411303006213,43,7,0
1591462324837421056,290,40,64
1591462162148442113,0,0,0
1591462047686230016,2,0,0
1591461574526509057,0,0,1
1591461570441539584,1,0,1
1591461327096410112,0,0,1
1591461320771383299,12,4,1
1591460340851785728,4,0,2
1591459377839579136,47,0,0
1591458927501352966,4,0,0
